WKT,NAME,SpeciesName,Date,NameDate,URL
"MULTIPOINT ((153.18517 -27.75596))",Greater Glider,"Petauroides volans (Kerr, 1792)",2019-11-30T20:00:44.000,Greater Glider 2019-11-30T20:00:44,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.12671 -27.77423))",Greater Glider,"Petauroides volans (Kerr, 1792)",2019-12-03T00:00:00.000,Greater Glider 2019-12-03T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.20251 -27.91469))",Greater Glider,"Petauroides volans (Kerr, 1792)",2019-12-29T00:00:00.000,Greater Glider 2019-12-29T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.32371 -27.97604))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31889 -27.96966))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31883 -27.97225))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31873 -27.97318))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.31763 -27.97693))",Greater Glider,"Petauroides volans (Kerr, 1792)",2018-03-17T00:00:00.000,Greater Glider 2018-03-17T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.18612 -27.91119))",Greater Glider,"Petauroides volans (Kerr, 1792)",2017-09-26T00:00:00.000,Greater Glider 2017-09-26T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66752 -28.3477))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-20T00:00:00.000,Greater Glider 2015-01-20T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66497 -28.34875))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-20T00:00:00.000,Greater Glider 2015-01-20T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66918 -28.35063))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-20T00:00:00.000,Greater Glider 2015-01-20T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66675 -28.34784))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-21T00:00:00.000,Greater Glider 2015-01-21T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66946 -28.33577))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-15T00:00:00.000,Greater Glider 2015-01-15T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.65274 -28.35329))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-21T00:00:00.000,Greater Glider 2015-01-21T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.65274 -28.35329))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-01-21T00:00:00.000,Greater Glider 2015-01-21T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.6715 -28.33645))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-02-18T00:00:00.000,Greater Glider 2015-02-18T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.65957 -28.36394))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-02-25T00:00:00.000,Greater Glider 2015-02-25T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66712 -28.42946))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-04-22T00:00:00.000,Greater Glider 2015-04-22T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.67681 -28.418))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-09T00:00:00.000,Greater Glider 2015-06-09T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.68017 -28.43016))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-09T00:00:00.000,Greater Glider 2015-06-09T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.68079 -28.43515))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-09T00:00:00.000,Greater Glider 2015-06-09T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.6804 -28.43197))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-09T00:00:00.000,Greater Glider 2015-06-09T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.66734 -28.42863))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-06-23T00:00:00.000,Greater Glider 2015-06-23T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((152.63452 -28.38508))",Greater Glider,"Petauroides volans (Kerr, 1792)",2015-07-02T00:00:00.000,Greater Glider 2015-07-02T00:00:00,https://wildlife.org.au/queensland-glider-network/
"MULTIPOINT ((153.2 -28.2))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2020-01-23T00:00:00.000,Koala 2020-01-23T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.11798 -27.87661))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2020-01-22T00:00:00.000,Koala 2020-01-22T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.1835 -27.76389))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2020-01-25T00:00:00.000,Koala 2020-01-25T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.30705 -28.03098))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2020-01-05T00:00:00.000,Koala 2020-01-05T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.13797 -28.38346))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-01-25T00:00:00.000,Koala 2019-01-25T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.27632 -28.31066))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-02-28T00:00:00.000,Koala 2019-02-28T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.4113 -27.83686))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-03-02T16:44:00.000,Koala 2019-03-02T16:44:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.40048 -27.8632))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-03-03T10:52:00.000,Koala 2019-03-03T10:52:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.4 -27.8))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-03-02T00:00:00.000,Koala 2019-03-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.4 -27.9))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-03-03T00:00:00.000,Koala 2019-03-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.52539 -28.21771))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-04-27T00:00:00.000,Koala 2019-04-27T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.188 -28.19509))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-05-19T23:32:59.000,Koala 2019-05-19T23:32:59,https://wildlife.org.au/koala/
"MULTIPOINT ((152.7231 -27.7117))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-06-24T00:00:00.000,Koala 2019-06-24T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18672 -28.19369))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-07-02T16:03:00.000,Koala 2019-07-02T16:03:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23443 -27.93155))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-07-24T00:00:00.000,Koala 2019-07-24T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.17721 -28.02327))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-07-21T00:00:00.000,Koala 2019-07-21T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.2 -28.2))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-07-02T00:00:00.000,Koala 2019-07-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.07645 -27.79007))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-08-26T00:00:00.000,Koala 2019-08-26T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.1 -27.8))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-08-31T00:00:00.000,Koala 2019-08-31T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.06281 -27.83552))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-15T00:00:00.000,Koala 2019-09-15T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.17 -28.36))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-02T00:00:00.000,Koala 2019-09-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.61821 -27.69889))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-15T00:00:00.000,Koala 2019-09-15T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.26949 -27.96308))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-22T00:00:00.000,Koala 2019-09-22T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.7 -27.8))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-26T00:00:00.000,Koala 2019-09-26T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.3 -27.9))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-28T00:00:00.000,Koala 2019-09-28T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.6 -28.1))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-23T00:00:00.000,Koala 2019-09-23T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.6 -28.1))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-23T00:00:00.000,Koala 2019-09-23T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18209 -27.90983))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-26T00:00:00.000,Koala 2019-09-26T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.07775 -27.77342))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-09-29T00:00:00.000,Koala 2019-09-29T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.14307 -27.85421))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-24T14:22:56.000,Koala 2019-10-24T14:22:56,https://wildlife.org.au/koala/
"MULTIPOINT ((152.76787 -27.73558))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-13T00:00:00.000,Koala 2019-10-13T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.63361 -27.71111))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-09T00:00:00.000,Koala 2019-10-09T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.7 -27.8))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-02T00:00:00.000,Koala 2019-10-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.61753 -27.70013))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-03T00:00:00.000,Koala 2019-10-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.61399 -27.7102))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-02T00:00:00.000,Koala 2019-10-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.61827 -27.69728))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-11T00:00:00.000,Koala 2019-10-11T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.61429 -27.70998))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-02T00:00:00.000,Koala 2019-10-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.61653 -27.70568))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-10-07T00:00:00.000,Koala 2019-10-07T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.0532 -27.83445))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-11-29T00:00:00.000,Koala 2019-11-29T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.52961 -27.92629))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-11-18T00:00:00.000,Koala 2019-11-18T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.62213 -27.69921))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-11-23T00:00:00.000,Koala 2019-11-23T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.22778 -28.13223))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-05T00:00:00.000,Koala 2019-12-05T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.7121 -27.73353))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-13T14:08:00.000,Koala 2019-12-13T14:08:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18478 -27.73987))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-29T15:15:00.000,Koala 2019-12-29T15:15:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.51304 -27.92113))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.5035 -27.9166))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.58795 -27.91815))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.58317 -27.91722))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.52446 -27.92514))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.52446 -27.92514))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.56672 -27.91616))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.50371 -27.91678))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.56375 -27.91722))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.5372 -27.92853))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.53709 -27.92841))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.58211 -27.91742))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.59539 -27.92387))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2019-12-20T00:00:00.000,Koala 2019-12-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.3211 -27.97057))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-03-17T00:00:00.000,Koala 2018-03-17T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23353 -28.28721))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-04-20T00:00:00.000,Koala 2018-04-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.65776 -27.90077))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-04-01T00:00:00.000,Koala 2018-04-01T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.26015 -28.27188))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-06-16T00:00:00.000,Koala 2018-06-16T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.00588 -28.38141))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-07-27T00:00:00.000,Koala 2018-07-27T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.00113 -28.35285))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-07-27T00:00:00.000,Koala 2018-07-27T00:00:00,https://wildlife.org.au/koala/
